PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Arica,Cabotaje embarcado,2016,Carga general,,Arica y Parinacota,"-18,47","-70,33"
Arica,Cabotaje embarcado,2016,Granel sólido,8.000,Arica y Parinacota,"-18,47","-70,33"
Arica,Cabotaje embarcado,2016,Granel líquido,,Arica y Parinacota,"-18,47","-70,33"
Arica,Cabotaje desembarcado,2016,Carga general,3.122,Arica y Parinacota,"-18,47","-70,33"
Arica,Cabotaje desembarcado,2016,Granel sólido,,Arica y Parinacota,"-18,47","-70,33"
Arica,Cabotaje desembarcado,2016,Granel líquido,42.892,Arica y Parinacota,"-18,47","-70,33"
Iquique,Cabotaje embarcado,2016,Carga general,40,Tarapacá,"-20,2","-70,16"
Iquique,Cabotaje embarcado,2016,Granel sólido,21.655,Tarapacá,"-20,2","-70,16"
Iquique,Cabotaje embarcado,2016,Granel líquido,,Tarapacá,"-20,2","-70,16"
Iquique,Cabotaje desembarcado,2016,Carga general,7.665,Tarapacá,"-20,2","-70,16"
Iquique,Cabotaje desembarcado,2016,Granel sólido,,Tarapacá,"-20,2","-70,16"
Iquique,Cabotaje desembarcado,2016,Granel líquido,115.585,Tarapacá,"-20,2","-70,16"
Patillos,Cabotaje embarcado,2016,Carga general,,Tarapacá,"-20,75","-70,19"
Patillos,Cabotaje embarcado,2016,Granel sólido,337.541,Tarapacá,"-20,75","-70,19"
Patillos,Cabotaje embarcado,2016,Granel líquido,,Tarapacá,"-20,75","-70,19"
Patillos,Cabotaje desembarcado,2016,Carga general,,Tarapacá,"-20,75","-70,19"
Patillos,Cabotaje desembarcado,2016,Granel sólido,,Tarapacá,"-20,75","-70,19"
Patillos,Cabotaje desembarcado,2016,Granel líquido,,Tarapacá,"-20,75","-70,19"
Tocopilla,Cabotaje embarcado,2016,Carga general,,Antofagasta,"-22,09","-70,21"
Tocopilla,Cabotaje embarcado,2016,Granel sólido,107.963,Antofagasta,"-22,09","-70,21"
Tocopilla,Cabotaje embarcado,2016,Granel líquido,,Antofagasta,"-22,09","-70,21"
Tocopilla,Cabotaje desembarcado,2016,Carga general,,Antofagasta,"-22,09","-70,21"
Tocopilla,Cabotaje desembarcado,2016,Granel sólido,59.630,Antofagasta,"-22,09","-70,21"
Tocopilla,Cabotaje desembarcado,2016,Granel líquido,,Antofagasta,"-22,09","-70,21"
Puerto Angamos,Cabotaje embarcado,2016,Carga general,12.582,Antofagasta,"-23,07","-70,39"
Puerto Angamos,Cabotaje embarcado,2016,Granel sólido,,Antofagasta,"-23,07","-70,39"
Puerto Angamos,Cabotaje embarcado,2016,Granel líquido,,Antofagasta,"-23,07","-70,39"
Puerto Angamos,Cabotaje desembarcado,2016,Carga general,253.195,Antofagasta,"-23,07","-70,39"
Puerto Angamos,Cabotaje desembarcado,2016,Granel sólido,,Antofagasta,"-23,07","-70,39"
Puerto Angamos,Cabotaje desembarcado,2016,Granel líquido,,Antofagasta,"-23,07","-70,39"
Mejillones,Cabotaje embarcado,2016,Carga general,,Antofagasta,"-23,09","-70,42"
Mejillones,Cabotaje embarcado,2016,Granel sólido,2.314,Antofagasta,"-23,09","-70,42"
Mejillones,Cabotaje embarcado,2016,Granel líquido,,Antofagasta,"-23,09","-70,42"
